timestamp,open,high,low,close,volume,age,quality
2026-09-01 16:00:00+00:00,216.474,216.5315,216.4285,216.527,7249,225777180,STALE
2026-09-01 16:15:00+00:00,216.5265,216.609,216.5035,216.583,13285,224877180,STALE
2026-09-01 16:30:00+00:00,216.581,216.619,216.5165,216.5385,11475,223977180,STALE
2026-09-01 16:45:00+00:00,216.54,216.5425,216.452,216.4595,6861,223077180,STALE
2026-09-01 17:00:00+00:00,216.4585,216.502,216.4455,216.491,7647,222177180,STALE
2026-09-01 17:15:00+00:00,216.4915,216.5465,216.4755,216.542,6901,221277180,STALE
2026-09-01 17:30:00+00:00,216.5405,216.5535,216.491,216.518,7215,220377180,STALE
2026-09-01 17:45:00+00:00,216.5185,216.556,216.5105,216.5475,4185,219477180,STALE
2026-09-01 18:00:00+00:00,216.548,216.5585,216.5235,216.527,5251,218577180,STALE
2026-09-01 18:15:00+00:00,216.528,216.562,216.4875,216.4885,4890,217677180,STALE
2026-09-01 18:30:00+00:00,216.488,216.501,216.443,216.4815,5287,216777180,STALE
2026-09-01 18:45:00+00:00,216.4825,216.5225,216.4775,216.4965,7129,215877180,STALE
2026-09-01 19:00:00+00:00,216.4975,216.522,216.478,216.5,6005,214977180,STALE
2026-09-01 19:15:00+00:00,216.4995,216.5275,216.4895,216.5195,3840,214077180,STALE
2026-09-01 19:30:00+00:00,216.5205,216.5275,216.481,216.499,5331,213177180,STALE
2026-09-01 19:45:00+00:00,216.4985,216.534,216.489,216.4955,3331,212277180,STALE
2026-09-01 20:00:00+00:00,216.496,216.501,216.471,216.491,1951,211377180,STALE
2026-09-01 20:15:00+00:00,216.4915,216.4935,216.4555,216.46,1284,210477180,STALE
2026-09-01 20:30:00+00:00,216.4595,216.5075,216.4575,216.501,1764,209577180,STALE
2026-09-01 20:45:00+00:00,216.502,216.534,216.4815,216.491,1969,208677180,STALE
2026-09-01 21:00:00+00:00,216.4925,216.5205,216.4895,216.508,58,207777180,STALE
2026-09-01 21:15:00+00:00,216.521,216.5485,216.4755,216.515,255,206877180,STALE
2026-09-01 21:30:00+00:00,216.5125,216.5385,216.473,216.4925,761,205977180,STALE
2026-09-01 21:45:00+00:00,216.472,216.5225,216.42,216.4995,814,205077180,STALE
2026-09-01 22:00:00+00:00,216.509,216.538,216.483,216.517,1869,204177180,STALE
2026-09-01 22:15:00+00:00,216.5175,216.5275,216.497,216.505,782,203277180,STALE
2026-09-01 22:30:00+00:00,216.5055,216.5115,216.483,216.5105,1923,202377180,STALE
2026-09-01 22:45:00+00:00,216.511,216.532,216.507,216.525,1862,201477180,STALE
2026-09-01 23:00:00+00:00,216.526,216.5505,216.5205,216.529,1589,200577180,STALE
2026-09-01 23:15:00+00:00,216.529,216.533,216.5,216.5055,1437,199677180,STALE
2026-09-01 23:30:00+00:00,216.505,216.514,216.461,216.497,1913,198777180,STALE
2026-09-01 23:45:00+00:00,216.4965,216.519,216.485,216.486,4017,197877180,STALE
2026-09-02 00:00:00+00:00,216.4865,216.4975,216.4195,216.448,9125,196977180,STALE
2026-09-02 00:15:00+00:00,216.4475,216.475,216.3935,216.4155,9161,196077180,STALE
2026-09-02 00:30:00+00:00,216.4165,216.512,216.4045,216.4465,8315,195177180,STALE
2026-09-02 00:45:00+00:00,216.447,216.5205,216.4295,216.502,9581,194277180,STALE
2026-09-02 01:00:00+00:00,216.5015,216.529,216.4635,216.467,9025,193377180,STALE
2026-09-02 01:15:00+00:00,216.4675,216.53,216.457,216.506,6638,192477180,STALE
2026-09-02 01:30:00+00:00,216.5055,216.5565,216.4845,216.5385,7146,191577180,STALE
2026-09-02 01:45:00+00:00,216.539,216.59,216.5365,216.581,5454,190677180,STALE
2026-09-02 02:00:00+00:00,216.5805,216.5855,216.506,216.5505,8920,189777180,STALE
2026-09-02 02:15:00+00:00,216.5515,216.584,216.5135,216.5175,7305,188877180,STALE
2026-09-02 02:30:00+00:00,216.517,216.5205,216.4605,216.477,6723,187977180,STALE
2026-09-02 02:45:00+00:00,216.477,216.5025,216.453,216.4675,5347,187077180,STALE
2026-09-02 03:00:00+00:00,216.468,216.471,216.4205,216.454,5719,186177180,STALE
2026-09-02 03:15:00+00:00,216.4545,216.4625,216.4015,216.403,5214,185277180,STALE
2026-09-02 03:30:00+00:00,216.4025,216.41,216.3145,216.321,6474,184377180,STALE
2026-09-02 03:45:00+00:00,216.321,216.349,216.3115,216.3295,4537,183477180,STALE
2026-09-02 04:00:00+00:00,216.329,216.3315,216.22,216.255,5598,182577180,STALE
2026-09-02 04:15:00+00:00,216.2545,216.301,216.2235,216.2515,5821,181677180,STALE
2026-09-02 04:30:00+00:00,216.251,216.2595,216.1785,216.1815,5030,180777180,STALE
2026-09-02 04:45:00+00:00,216.182,216.2015,216.014,216.096,8242,179877180,STALE
