timestamp,open,high,low,close,volume,age,quality
2026-09-23 17:25:00+00:00,111.3505,111.352,111.309,111.3185,1682,75116767,STALE
2026-09-23 17:30:00+00:00,111.319,111.3405,111.314,111.322,1525,74816767,STALE
2026-09-23 17:35:00+00:00,111.3215,111.3315,111.2955,111.297,1540,74516767,STALE
2026-09-23 17:40:00+00:00,111.2965,111.3655,111.2905,111.324,2187,74216767,STALE
2026-09-23 17:45:00+00:00,111.3235,111.401,111.3115,111.3905,2191,73916767,STALE
2026-09-23 17:50:00+00:00,111.391,111.3975,111.3515,111.3695,2169,73616767,STALE
2026-09-23 17:55:00+00:00,111.369,111.391,111.3585,111.391,1705,73316767,STALE
2026-09-23 18:00:00+00:00,111.3895,111.403,111.366,111.3705,1841,73016767,STALE
2026-09-23 18:05:00+00:00,111.372,111.4145,111.3715,111.4015,1300,72716767,STALE
2026-09-23 18:10:00+00:00,111.402,111.428,111.402,111.42,1345,72416767,STALE
2026-09-23 18:15:00+00:00,111.4195,111.4305,111.41,111.4235,1292,72116767,STALE
2026-09-23 18:20:00+00:00,111.4225,111.434,111.412,111.4195,1374,71816767,STALE
2026-09-23 18:25:00+00:00,111.42,111.4345,111.415,111.432,1317,71516767,STALE
2026-09-23 18:30:00+00:00,111.4325,111.4325,111.413,111.423,1346,71216767,STALE
2026-09-23 18:35:00+00:00,111.4225,111.4265,111.401,111.405,1383,70916767,STALE
2026-09-23 18:40:00+00:00,111.4045,111.4115,111.3985,111.406,952,70616767,STALE
2026-09-23 18:45:00+00:00,111.406,111.415,111.396,111.4125,1110,70316767,STALE
2026-09-23 18:50:00+00:00,111.4125,111.4145,111.4,111.41,1039,70016767,STALE
2026-09-23 18:55:00+00:00,111.4105,111.418,111.402,111.4125,1226,69716767,STALE
2026-09-23 19:00:00+00:00,111.412,111.4255,111.4045,111.419,1473,69416767,STALE
2026-09-23 19:05:00+00:00,111.4185,111.454,111.417,111.446,1375,69116767,STALE
2026-09-23 19:10:00+00:00,111.447,111.4495,111.4265,111.441,1422,68816767,STALE
2026-09-23 19:15:00+00:00,111.4415,111.443,111.412,111.418,1154,68516767,STALE
2026-09-23 19:20:00+00:00,111.4185,111.426,111.412,111.4195,1205,68216767,STALE
2026-09-23 19:25:00+00:00,111.42,111.422,111.409,111.4105,963,67916767,STALE
2026-09-23 19:30:00+00:00,111.411,111.4185,111.3835,111.4095,1391,67616767,STALE
2026-09-23 19:35:00+00:00,111.4085,111.43,111.398,111.43,1387,67316767,STALE
2026-09-23 19:40:00+00:00,111.4295,111.4515,111.422,111.451,1321,67016767,STALE
