timestamp,open,high,low,close,volume,age,quality
2026-09-25 09:55:00+00:00,1.321405,1.321625,1.320425,1.320925,0,75042679,STALE
2026-09-25 10:00:00+00:00,1.320995,1.321705,1.319795,1.319875,0,74742679,STALE
2026-09-25 10:05:00+00:00,1.319905,1.321415,1.319765,1.320595,0,74442679,STALE
2026-09-25 10:10:00+00:00,1.320585,1.321545,1.320235,1.320675,0,74142679,STALE
2026-09-25 10:15:00+00:00,1.320675,1.321825,1.320375,1.321465,0,73842679,STALE
2026-09-25 10:20:00+00:00,1.321455,1.322155,1.321075,1.321835,0,73542679,STALE
2026-09-25 10:25:00+00:00,1.321785,1.322395,1.320435,1.320805,0,73242679,STALE
2026-09-25 10:30:00+00:00,1.320855,1.320965,1.320105,1.320325,0,72942679,STALE
2026-09-25 10:35:00+00:00,1.320315,1.320825,1.319985,1.320245,0,72642679,STALE
2026-09-25 10:40:00+00:00,1.320235,1.321705,1.320145,1.321705,0,72342679,STALE
2026-09-25 10:45:00+00:00,1.321675,1.322725,1.321505,1.322005,0,72042679,STALE
2026-09-25 10:50:00+00:00,1.322005,1.322825,1.321855,1.322005,0,71742679,STALE
2026-09-25 10:55:00+00:00,1.321985,1.322385,1.321145,1.322365,0,71442679,STALE
2026-09-25 11:00:00+00:00,1.322395,1.323055,1.322365,1.323035,0,71142679,STALE
2026-09-25 11:05:00+00:00,1.323025,1.323045,1.321765,1.321845,0,70842679,STALE
2026-09-25 11:10:00+00:00,1.321855,1.322065,1.321245,1.321525,0,70542679,STALE
2026-09-25 11:15:00+00:00,1.321475,1.321925,1.320965,1.321425,0,70242679,STALE
2026-09-25 11:20:00+00:00,1.321415,1.322015,1.321255,1.321535,0,69942679,STALE
2026-09-25 11:25:00+00:00,1.321565,1.323245,1.321515,1.322955,0,69642679,STALE
2026-09-25 11:30:00+00:00,1.323045,1.324185,1.322735,1.324155,0,69342679,STALE
2026-09-25 11:35:00+00:00,1.324145,1.325175,1.324095,1.324915,0,69042679,STALE
2026-09-25 11:40:00+00:00,1.324905,1.325765,1.324845,1.325065,0,68742679,STALE
2026-09-25 11:45:00+00:00,1.325055,1.325435,1.324825,1.325045,0,68442679,STALE
2026-09-25 11:50:00+00:00,1.325085,1.326655,1.325015,1.325995,0,68142679,STALE
2026-09-25 11:55:00+00:00,1.326025,1.326625,1.325805,1.326055,0,67842679,STALE
2026-09-25 12:00:00+00:00,1.326045,1.326955,1.325625,1.326645,0,67542679,STALE
2026-09-25 12:05:00+00:00,1.326655,1.327425,1.326485,1.327295,0,67242679,STALE
2026-09-25 12:10:00+00:00,1.327275,1.327825,1.326855,1.327675,0,66942679,STALE
2026-09-25 12:15:00+00:00,1.327665,1.328375,1.327355,1.327395,0,66642679,STALE
2026-09-25 12:20:00+00:00,1.327425,1.328565,1.327165,1.327325,0,66342679,STALE
2026-09-25 12:25:00+00:00,1.327195,1.328135,1.327175,1.327515,0,66042679,STALE
2026-09-25 12:30:00+00:00,1.327515,1.327705,1.326945,1.327155,0,65742679,STALE
2026-09-25 12:35:00+00:00,1.327145,1.327785,1.327045,1.327425,0,65442679,STALE
2026-09-25 12:40:00+00:00,1.327435,1.329215,1.326985,1.328955,0,65142679,STALE
2026-09-25 12:45:00+00:00,1.328985,1.329005,1.328195,1.328395,0,64842679,STALE
2026-09-25 12:50:00+00:00,1.328385,1.329565,1.328385,1.329095,0,64542679,STALE
2026-09-25 12:55:00+00:00,1.329115,1.330075,1.328535,1.329905,0,64242679,STALE
2026-09-25 13:00:00+00:00,1.329935,1.330175,1.329395,1.329425,0,63942679,STALE
2026-09-25 13:05:00+00:00,1.329415,1.330035,1.329225,1.329595,0,63642679,STALE
2026-09-25 13:10:00+00:00,1.329585,1.331045,1.329355,1.330895,0,63342679,STALE
2026-09-25 13:15:00+00:00,1.330885,1.331565,1.330515,1.331485,0,63042679,STALE
2026-09-25 13:20:00+00:00,1.331475,1.331595,1.330405,1.330405,0,62742679,STALE
2026-09-25 13:25:00+00:00,1.330395,1.330955,1.330115,1.330185,0,62442679,STALE
2026-09-25 13:30:00+00:00,1.330185,1.330585,1.329615,1.329715,0,62142679,STALE
2026-09-25 13:35:00+00:00,1.329705,1.330295,1.329225,1.329315,0,61842679,STALE
2026-09-25 13:40:00+00:00,1.329395,1.329835,1.328905,1.329035,0,61542679,STALE
2026-09-25 13:45:00+00:00,1.329055,1.329655,1.328795,1.328925,0,61242679,STALE
2026-09-25 13:50:00+00:00,1.328945,1.329265,1.327935,1.328035,0,60942679,STALE
2026-09-25 13:55:00+00:00,1.328135,1.328565,1.327465,1.328035,0,60642679,STALE
2026-09-25 14:00:00+00:00,1.328025,1.328195,1.326645,1.326795,0,60342679,STALE
2026-09-25 14:05:00+00:00,1.326775,1.326805,1.325115,1.326475,0,60042679,STALE
2026-09-25 14:10:00+00:00,1.326485,1.326905,1.326065,1.326265,0,59742679,STALE
2026-09-25 14:15:00+00:00,1.326275,1.326465,1.325405,1.325475,0,59442679,STALE
2026-09-25 14:20:00+00:00,1.325495,1.326225,1.325285,1.325675,0,59142679,STALE
2026-09-25 14:25:00+00:00,1.325665,1.326395,1.325255,1.326265,0,58842679,STALE
2026-09-25 14:30:00+00:00,1.326245,1.326315,1.325155,1.325585,0,58542679,STALE
2026-09-25 14:35:00+00:00,1.325595,1.325875,1.324865,1.324955,0,58242679,STALE
2026-09-25 14:40:00+00:00,1.324965,1.325205,1.323445,1.323495,0,57942679,STALE
2026-09-25 14:45:00+00:00,1.323485,1.323755,1.322655,1.323045,0,57642679,STALE
2026-09-25 14:50:00+00:00,1.323035,1.323335,1.322535,1.322815,0,57342679,STALE
2026-09-25 14:55:00+00:00,1.322825,1.323245,1.322095,1.322995,0,57042679,STALE
2026-09-25 15:00:00+00:00,1.322985,1.323755,1.322755,1.323155,0,56742679,STALE
2026-09-25 15:05:00+00:00,1.323175,1.324035,1.322955,1.323675,0,56442679,STALE
2026-09-25 15:10:00+00:00,1.323605,1.324145,1.323145,1.323195,0,56142679,STALE
2026-09-25 15:15:00+00:00,1.323185,1.323955,1.323065,1.323435,0,55842679,STALE
2026-09-25 15:20:00+00:00,1.323405,1.324305,1.322755,1.323775,0,55542679,STALE
2026-09-25 15:25:00+00:00,1.323785,1.323915,1.322165,1.322245,0,55242679,STALE
2026-09-25 15:30:00+00:00,1.322335,1.322825,1.321325,1.321735,0,54942679,STALE
2026-09-25 15:35:00+00:00,1.321745,1.322865,1.321745,1.322265,0,54642679,STALE
