timestamp,open,high,low,close,volume,age,quality
2026-09-24 12:12:30+00:00,158.86,158.8615,158.847,158.851,251,7500283,STALE
2026-09-24 12:13:00+00:00,158.85,158.8535,158.836,158.8365,196,7470283,STALE
2026-09-24 12:13:30+00:00,158.836,158.841,158.832,158.837,102,7440283,STALE
2026-09-24 12:14:00+00:00,158.8375,158.8405,158.833,158.839,117,7410283,STALE
2026-09-24 12:14:30+00:00,158.8395,158.8465,158.8345,158.846,152,7380283,STALE
2026-09-24 12:15:00+00:00,158.8455,158.8475,158.827,158.828,240,7350283,STALE
2026-09-24 12:15:30+00:00,158.8275,158.8385,158.824,158.8375,116,7320283,STALE
2026-09-24 12:16:00+00:00,158.837,158.839,158.8315,158.837,123,7290283,STALE
2026-09-24 12:16:30+00:00,158.8365,158.8395,158.816,158.816,254,7260283,STALE
2026-09-24 12:17:00+00:00,158.8165,158.827,158.814,158.818,207,7230283,STALE
2026-09-24 12:17:30+00:00,158.8185,158.8245,158.8035,158.804,168,7200283,STALE
2026-09-24 12:18:00+00:00,158.8045,158.813,158.7985,158.8005,173,7170283,STALE
2026-09-24 12:18:30+00:00,158.801,158.808,158.7995,158.807,130,7140283,STALE
2026-09-24 12:19:00+00:00,158.8065,158.8225,158.804,158.818,133,7110283,STALE
2026-09-24 12:19:30+00:00,158.8175,158.818,158.801,158.8015,243,7080283,STALE
2026-09-24 12:20:00+00:00,158.801,158.808,158.79,158.794,255,7050283,STALE
2026-09-24 12:20:30+00:00,158.7935,158.8075,158.7845,158.8015,207,7020283,STALE
2026-09-24 12:21:00+00:00,158.8005,158.8075,158.791,158.795,194,6990283,STALE
2026-09-24 12:21:30+00:00,158.7945,158.796,158.7805,158.794,209,6960283,STALE
2026-09-24 12:22:00+00:00,158.7945,158.811,158.788,158.7885,226,6930283,STALE
2026-09-24 12:22:30+00:00,158.7895,158.793,158.7795,158.781,275,6900283,STALE
2026-09-24 12:23:00+00:00,158.7805,158.7815,158.773,158.7775,177,6870283,STALE
2026-09-24 12:23:30+00:00,158.778,158.782,158.7755,158.7815,82,6840283,STALE
2026-09-24 12:24:00+00:00,158.781,158.796,158.7765,158.795,148,6810283,STALE
2026-09-24 12:24:30+00:00,158.795,158.795,158.776,158.7795,165,6780283,STALE
2026-09-24 12:25:00+00:00,158.78,158.795,158.7555,158.7725,468,6750283,STALE
2026-09-24 12:25:30+00:00,158.773,158.7805,158.7625,158.77,412,6720283,STALE
2026-09-24 12:26:00+00:00,158.7705,158.7865,158.7615,158.7675,380,6690283,STALE
2026-09-24 12:26:30+00:00,158.769,158.776,158.765,158.7695,244,6660283,STALE
2026-09-24 12:27:00+00:00,158.769,158.776,158.768,158.7755,75,6630283,STALE
2026-09-24 12:27:30+00:00,158.776,158.7845,158.774,158.7765,126,6600283,STALE
2026-09-24 12:28:00+00:00,158.776,158.7975,158.774,158.7895,152,6570283,STALE
2026-09-24 12:28:30+00:00,158.79,158.79,158.777,158.782,94,6540283,STALE
